Tpktnr;Tpktnavn;Vegkat;HP;Meter;jan;feb;mars;april;mai;juni;juli;augt;sept;okt;nov;des;SUM;dager;aar
1601442;STORSANDTUNNELEN;EV39;1;20273;33;28;31;30;31;30;31;32;30;31;30;31;365;365;2017
1600158;Rostad;EV6;7;1365;0;0;1;3;0;0;0;0;0;0;0;0;4;365;2017
1601434;STAVSJØTUNNELEN;EV6;15;13502;0;0;0;4;31;15;0;0;0;0;0;9;59;365;2017
1601439;SELBU SKISTADION;FV705;1;701;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1602214;KORPORALS BRU;EV6;5;24745;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1600161;Bårdshaug;EV39;1;26889;31;28;31;30;31;5;0;0;0;0;0;0;156;365;2017
1600219;Jakobslivegen ved Skovgård;KV3330;1;70;0;0;0;0;0;0;0;0;8;8;16;31;63;365;2017
1601446;HITRATUNNELEN FRA SUNDE;FV714;5;9528;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1601201;GRØNNBAKKEN;EV6;1;1842;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1602306;ØYSAND;EV39;1;2895;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1601438;HELLTUNNELEN;EV6;15;19499;0;0;0;0;0;0;0;0;0;0;0;13;13;365;2017
1601216;ROGSTAD;FV30;1;3143;31;28;31;30;33;30;31;18;30;31;30;31;354;365;2017
1600189;Oppdal E6 sørlig;EV6;1;39600;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1600145;E6 TILLER VED XXL;EV6;10;2045;28;0;22;23;30;30;13;0;0;0;0;0;146;365;2017
1600265;F07 - Kommunal veg;KV1112;1;1045;0;0;0;0;0;0;0;0;16;0;0;0;16;365;2017
1600212;E39 Øysand F05;EV39;1;3027;;;;;;;;;;;;;0;365;2017
1601441;MELHUS NORD;EV6;8;6203;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1602112;HALTDALEN EVENMOEN;FV30;2;29832;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1602418;OSLOVEGEN;RV706;1;2500;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1600123;Haakon VII gt øst;FV868;1;3046;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1602101;HAVSJØEN HEDMARK GR;FV30;7;2967;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1600209;Heimdalsvegen ved Esp;FV900;1;1100;0;27;31;30;31;30;31;18;0;0;0;0;198;365;2017
1600124;Innherredsveien ved Bakke kirke;FV905;1;530;0;0;0;0;0;0;0;0;4;0;0;0;4;365;2017
1600144;Harangstunnelen;EV39;3;1601;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1601405;KROPPAN BRU;EV6;11;2785;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1600213;Østre Rosten ved Sandmoen;FV902;1;5750;4;28;31;30;31;30;31;31;30;31;30;31;338;365;2017
1601440;MELHUS SØR;EV6;8;1859;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1600216;Holtermanns veg nord for Bratsbergvegen;EV6;62;120;27;28;31;30;31;30;31;31;30;31;30;31;361;365;2017
1601445;VINJEØRA NY;EV39;5;5212;31;28;31;30;31;11;0;0;0;0;0;0;162;365;2017
1600079;Leirbrua ved Granåsen;FV812;2;6567;;;;;;;;;;;;;0;365;2017
1600127;Jernbanebrua;FV910;1;171;31;28;31;30;31;26;0;17;30;31;30;31;316;365;2017
1600155;Rotvollekra;RV706;2;3700;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1600128;Byåsveien ved Nyveibakken;FV812;2;559;31;28;31;30;31;30;31;31;60;31;30;31;365;365;2017
1600078;Festningsgata;FV865;1;1854;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1601443;BREKKTUNNELEN;EV39;1;5185;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1600101;PRINSENS GT LIKE NOR;FV905;3;608;31;28;31;30;31;30;62;31;30;31;30;31;396;365;2017
1600211;E39 Øysand F07;EV39;1;3046;;;;;;;;;;;;;0;365;2017
1601444;MANNSFJELLTUNNELEN;EV39;1;10336;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1600190;Oppdal E6 nordlig;EV6;2;2874;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1600160;Gullikstad;RV3;1;13360;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1600218;Tungasletta mot I. Ystgaardsv.;KV7703;10;50;0;0;0;0;0;0;0;0;0;0;14;31;45;365;2017
1601416;SELSBAKK;RV706;1;1200;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1600012;HAVNEGATA;RV706;1;8587;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1601447;HITRATUNNELEN FRA HITRA;FV714;5;14712;31;28;9;0;0;0;0;0;0;0;0;0;68;365;2017
1600104;Torp;FV950;2;6734;12;15;25;18;30;22;18;0;0;0;0;0;140;365;2017
1600210;E39 Øysand F09;EV39;1;3065;0;0;0;0;0;0;0;0;0;0;0;30;30;365;2017
1601433;VÆRETUNNELEN;EV6;15;2897;31;28;31;30;31;8;0;0;0;0;0;0;159;365;2017
1600193;Bromstadvegens forlengelse;FV864;1;4660;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1600215;Stiklestadveien mot Jarleveien;FV868;1;1060;0;0;0;0;0;0;0;0;0;12;30;31;73;365;2017
1600125;Kong Øysteins veg ved Eberg;FV864;1;2072;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1600015;MOHOLT RAMPE 2;EV6;95;32121;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1600011;MARIENBORGTUNNELEN;RV706;1;4585;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1602407;SUNDLAND;EV6;12;932;31;28;31;30;31;30;31;31;30;31;24;12;340;365;2017
1602408;MOHOLTLIA;EV6;12;2314;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1600122;Søndre Ilevollen;FV812;1;1151;31;28;31;30;31;30;31;31;30;31;5;0;309;365;2017
1601210;BERKÅK;EV6;4;7766;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1600214;Jonsvannsveien vest for Steinanvegen;FV861;1;350;0;0;0;0;0;0;0;0;0;0;14;24;38;365;2017
1602211;VOLL I RENNEBU;FV700;3;3879;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1600156;Innherredsveien ved Fjæregata;FV910;2;160;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1600097;Bjørndalsbrua vest;FV812;2;9750;0;0;0;0;0;0;0;0;12;31;30;31;104;365;2017
1600162;Oppdal rv 70;RV70;1;1159;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1600149;STRINDHEIMTUNNELEN;RV706;2;1340;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1600154;Grillstadtunnelen vest;EV6;12;6700;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1601202;FRØYATUNNELEN;FV714;10;29562;31;28;31;30;31;30;31;31;30;12;0;0;285;365;2017
1600159;Garli;EV6;5;10420;31;28;31;30;31;30;31;31;30;31;30;31;365;365;2017
1600217;Elgeseter gate ved Abels gate;EV6;62;1420;19;28;31;30;31;30;31;31;30;31;30;31;353;365;2017
1600126;Brattørbrua;EW6;52;187;;;;;;;;;;;;;0;365;2017
1600017;MOHOLT VED VEGAMOT;EV6;12;3239;31;28;31;30;31;30;31;31;23;31;30;31;358;365;2017
1602315;HORG;EV6;7;7538;0;0;1;34;31;30;31;18;0;6;28;0;179;365;2017
1600157;Innherredsveien ved Saxenborg alle;FV910;2;1300;31;28;31;30;25;8;31;31;30;31;30;31;337;365;2017
1601442;STORSANDTUNNELEN;EV39;1;20273;31;28;31;30;31;30;30;31;0;0;0;0;242;243;2018
1600158;Rostad;EV6;7;1365;0;28;31;30;31;30;31;31;0;0;0;0;212;243;2018
1601434;STAVSJØTUNNELEN;EV6;15;13502;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1601439;SELBU SKISTADION;FV705;1;701;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1602214;KORPORALS BRU;EV6;5;24745;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1600161;Bårdshaug;EV39;1;26889;;;;;;;;;;;;;0;243;2018
1600219;Jakobslivegen ved Skovgård;KV3330;1;70;13;23;31;30;31;30;31;31;0;0;0;0;220;243;2018
1601446;HITRATUNNELEN FRA SUNDE;FV714;5;9528;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1601201;GRØNNBAKKEN;EV6;1;1842;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1602306;ØYSAND;EV39;1;2895;31;0;31;30;31;30;31;31;0;0;0;0;215;243;2018
1601438;HELLTUNNELEN;EV6;15;19499;31;27;31;30;31;30;31;31;0;0;0;0;242;243;2018
1601216;ROGSTAD;FV30;1;3143;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1600189;Oppdal E6 sørlig;EV6;1;39600;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1600145;E6 TILLER VED XXL;EV6;10;2045;;;;;;;;;;;;;0;243;2018
1600265;F07 - Kommunal veg;KV1112;1;1045;;;;;;;;;;;;;0;243;2018
1600212;E39 Øysand F05;EV39;1;3027;0;8;0;0;0;0;0;0;0;0;0;0;8;243;2018
1601441;MELHUS NORD;EV6;8;6203;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1602112;HALTDALEN EVENMOEN;FV30;2;29832;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1602418;OSLOVEGEN;RV706;1;2500;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1600123;Haakon VII gt øst;FV868;1;3046;31;28;62;60;31;30;31;31;0;0;0;0;243;243;2018
1602101;HAVSJØEN HEDMARK GR;FV30;7;2967;31;28;31;30;62;30;31;31;0;0;0;0;243;243;2018
1600209;Heimdalsvegen ved Esp;FV900;1;1100;0;0;0;4;31;30;31;31;0;0;0;0;127;243;2018
1600124;Innherredsveien ved Bakke kirke;FV905;1;530;0;0;0;0;0;0;0;8;17;0;0;0;8;243;2018
1600144;Harangstunnelen;EV39;3;1601;31;28;31;29;31;30;31;31;0;0;0;0;242;243;2018
1601405;KROPPAN BRU;EV6;11;2785;31;28;31;210;62;30;31;31;0;0;0;0;243;243;2018
1600213;Østre Rosten ved Sandmoen;FV902;1;5750;31;28;31;30;31;30;31;0;0;0;0;0;212;243;2018
1601440;MELHUS SØR;EV6;8;1859;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1600216;Holtermanns veg nord for Bratsbergvegen;EV6;62;120;31;28;31;30;186;30;31;31;0;0;0;0;243;243;2018
1601445;VINJEØRA NY;EV39;5;5212;;;;;;;;;;;;;0;243;2018
1600079;Leirbrua ved Granåsen;FV812;2;6567;0;0;0;0;8;30;31;31;0;0;0;0;100;243;2018
1600127;Jernbanebrua;FV910;1;171;31;28;62;30;31;30;31;31;17;0;0;0;243;243;2018
1600155;Rotvollekra;RV706;2;3700;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1600128;Byåsveien ved Nyveibakken;FV812;2;559;31;28;31;30;31;18;0;0;0;0;0;0;169;243;2018
1600078;Festningsgata;FV865;1;1854;31;28;31;30;31;30;31;31;17;0;0;0;226;243;2018
1601443;BREKKTUNNELEN;EV39;1;5185;31;28;31;120;62;30;31;31;0;0;0;0;243;243;2018
1600101;PRINSENS GT LIKE NOR;FV905;3;608;31;28;31;30;31;30;31;31;17;0;0;0;226;243;2018
1600211;E39 Øysand F07;EV39;1;3046;0;0;18;5;0;0;0;0;0;0;0;0;23;243;2018
1601444;MANNSFJELLTUNNELEN;EV39;1;10336;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1600190;Oppdal E6 nordlig;EV6;2;2874;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1600160;Gullikstad;RV3;1;13360;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1600218;Tungasletta mot I. Ystgaardsv.;KV7703;10;50;31;28;31;11;0;0;0;0;0;0;0;0;101;243;2018
1601416;SELSBAKK;RV706;1;1200;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1600012;HAVNEGATA;RV706;1;8587;31;28;31;30;62;30;31;31;17;0;0;0;243;243;2018
1601447;HITRATUNNELEN FRA HITRA;FV714;5;14712;;;;;;;;;;;;;0;243;2018
1600104;Torp;FV950;2;6734;;;;;;;;;;;;;0;243;2018
1600210;E39 Øysand F09;EV39;1;3065;31;0;6;0;0;0;0;0;0;0;0;0;37;243;2018
1601433;VÆRETUNNELEN;EV6;15;2897;28;28;31;30;31;30;31;31;0;0;0;0;240;243;2018
1600193;Bromstadvegens forlengelse;FV864;1;4660;31;28;31;30;31;30;31;0;0;0;0;0;212;243;2018
1600215;Stiklestadveien mot Jarleveien;FV868;1;1060;31;28;31;30;62;30;31;28;0;0;0;0;240;243;2018
1600125;Kong Øysteins veg ved Eberg;FV864;1;2072;31;21;0;0;0;0;28;31;0;0;0;0;111;243;2018
1600015;MOHOLT RAMPE 2;EV6;95;32121;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1600011;MARIENBORGTUNNELEN;RV706;1;4585;31;28;31;30;31;30;31;5;0;0;0;0;217;243;2018
1602407;SUNDLAND;EV6;12;932;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1602408;MOHOLTLIA;EV6;12;2314;31;28;31;30;31;30;31;0;0;0;0;0;212;243;2018
1600122;Søndre Ilevollen;FV812;1;1151;;;;;;;;;;;;;0;243;2018
1601210;BERKÅK;EV6;4;7766;24;0;0;19;31;30;31;31;0;0;0;0;166;243;2018
1600214;Jonsvannsveien vest for Steinanvegen;FV861;1;350;31;28;31;30;28;0;0;0;0;0;0;0;148;243;2018
1602211;VOLL I RENNEBU;FV700;3;3879;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1600156;Innherredsveien ved Fjæregata;FV910;2;160;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1600097;Bjørndalsbrua vest;FV812;2;9750;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1600162;Oppdal rv 70;RV70;1;1159;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1600149;STRINDHEIMTUNNELEN;RV706;2;1340;31;28;31;30;62;30;31;31;17;0;0;0;243;243;2018
1600154;Grillstadtunnelen vest;EV6;12;6700;31;28;31;120;155;30;31;31;0;0;0;0;243;243;2018
1601202;FRØYATUNNELEN;FV714;10;29562;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1600159;Garli;EV6;5;10420;31;28;31;30;31;30;31;5;0;0;0;0;217;243;2018
1600217;Elgeseter gate ved Abels gate;EV6;62;1420;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1600126;Brattørbrua;EW6;52;187;0;0;0;0;0;24;31;31;17;0;0;0;69;243;2018
1600017;MOHOLT VED VEGAMOT;EV6;12;3239;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1602315;HORG;EV6;7;7538;26;28;31;30;31;30;31;31;0;0;0;0;238;243;2018
1600157;Innherredsveien ved Saxenborg alle;FV910;2;1300;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1700028;Hegra nord;FV752;1;80;0;0;0;0;0;0;0;0;0;0;16;31;47;365;2017
1700029;Hegra sør;FV26;50;370;0;0;0;0;0;0;0;0;0;0;16;31;47;365;2017
1700026;Hegra vest;EV14;2;8180;0;0;0;0;0;0;0;0;0;0;16;31;47;365;2017
1700027;Hegra øst;EV14;2;8320;0;0;0;0;0;0;0;0;0;0;16;31;47;365;2017
1700028;Hegra nord;FV752;1;80;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1700029;Hegra sør;FV26;50;370;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1700026;Hegra vest;EV14;2;8180;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1700027;Hegra øst;EV14;2;8320;31;28;31;30;31;30;31;31;0;0;0;0;243;243;2018
1700012;Kvislabakken;;;;;;;;;;;;;;;;0;365;2017
1700012;Kvislabakken;;;;;;;;;;;;;;;;0;243;2018
51;;;;;;;;;;;;;;;;;243;243;2018
52;;;;;;;;;;;;;;;;;243;243;2018
53;;;;;;;;;;;;;;;;;243;243;2018
54;;;;;;;;;;;;;;;;;243;243;2018
55;;;;;;;;;;;;;;;;;243;243;2018
56;;;;;;;;;;;;;;;;;243;243;2018
57;;;;;;;;;;;;;;;;;243;243;2018
58;;;;;;;;;;;;;;;;;243;243;2018
59;;;;;;;;;;;;;;;;;243;243;2018
60;;;;;;;;;;;;;;;;;243;243;2018
61;;;;;;;;;;;;;;;;;243;243;2018
62;;;;;;;;;;;;;;;;;243;243;2018
63;;;;;;;;;;;;;;;;;243;243;2018
64;;;;;;;;;;;;;;;;;243;243;2018
65;;;;;;;;;;;;;;;;;243;243;2018
66;;;;;;;;;;;;;;;;;243;243;2018
67;;;;;;;;;;;;;;;;;243;243;2018
68;;;;;;;;;;;;;;;;;243;243;2018
69;;;;;;;;;;;;;;;;;243;243;2018
85;;;;;;;;;;;;;;;;;243;243;2018
86;;;;;;;;;;;;;;;;;243;243;2018
51;;;;;;;;;;;;;;;;;365;365;2017
52;;;;;;;;;;;;;;;;;365;365;2017
53;;;;;;;;;;;;;;;;;365;365;2017
54;;;;;;;;;;;;;;;;;365;365;2017
55;;;;;;;;;;;;;;;;;365;365;2017
56;;;;;;;;;;;;;;;;;365;365;2017
57;;;;;;;;;;;;;;;;;365;365;2017
58;;;;;;;;;;;;;;;;;365;365;2017
59;;;;;;;;;;;;;;;;;365;365;2017
60;;;;;;;;;;;;;;;;;365;365;2017
61;;;;;;;;;;;;;;;;;365;365;2017
62;;;;;;;;;;;;;;;;;365;365;2017
63;;;;;;;;;;;;;;;;;365;365;2017
64;;;;;;;;;;;;;;;;;365;365;2017
65;;;;;;;;;;;;;;;;;365;365;2017
66;;;;;;;;;;;;;;;;;365;365;2017
67;;;;;;;;;;;;;;;;;365;365;2017
68;;;;;;;;;;;;;;;;;365;365;2017
69;;;;;;;;;;;;;;;;;365;365;2017
85;;;;;;;;;;;;;;;;;365;365;2017
86;;;;;;;;;;;;;;;;;365;365;2017
70;;;;;;;;;;;;;;;;;243;243;2018
70;;;;;;;;;;;;;;;;;365;365;2017
72;;;;;;;;;;;;;;;;;243;243;2018
72;;;;;;;;;;;;;;;;;365;365;2017
1600014;;;;;;;;;;;;;;;;;0;243;2018
1600014;;;;;;;;;;;;;;;;;0;365;2017
1600015;;;;;;;;;;;;;;;;;0;243;2018
1600015;;;;;;;;;;;;;;;;;0;365;2017
1601419;;;;;;;;;;;;;;;;;0;243;2018
1601419;;;;;;;;;;;;;;;;;0;365;2017
1601418;;;;;;;;;;;;;;;;;0;243;2018
1601418;;;;;;;;;;;;;;;;;0;365;2017
1601417;;;;;;;;;;;;;;;;;0;243;2018
1601417;;;;;;;;;;;;;;;;;0;365;2017
